"Canton ID",Canton,"SFO Commune ID",Commune,Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,"Church, Protestant","Church, Roman Catholic","Church, Christian Catholic",Canton,Commune,Church,Canton,Commune,Church
1,ZH,13,Stallikon,98,103,11,11,14,98,103,11,11,14,98,114,0,98,114,0
1,ZH,292,Stammheim,98,114,14,14,14,98,114,14,14,14,98,128,0,98,128,0
1,ZH,101,Steinmaur,98,108,12,10,14,98,108,12,10,14,98,119.12,0,98,119.12,0
1,ZH,158,Stäfa,98,78,11,11,14,98,78,11,11,14,98,89,0,98,89,0
1,ZH,39,"Thalheim an der Thur",98,115,12,13,14,98,115,12,13,14,98,127.22,0,98,127.22,0
1,ZH,141,Thalwil,98,78,11,10,14,98,78,11,10,14,98,88.48,0,98,88.48,0
1,ZH,41,Truttikon,98,107,14,14,14,98,107,14,14,14,98,121,0,98,121,0
1,ZH,40,Trüllikon,98,110,14,14,14,98,110,14,14,14,98,124,0,98,124,0
1,ZH,228,Turbenthal,98,122,14,13,14,98,122,14,13,14,98,135.67,0,98,135.67,0
1,ZH,159,"Uetikon am See",98,84,11,11,14,98,84,11,11,14,98,95,0,98,95,0
1,ZH,248,Uitikon,98,78,10,10,14,98,78,10,10,14,98,88,0,98,88,0
1,ZH,249,Unterengstringen,98,102,11,13,14,98,102,11,13,14,98,114.08,0,98,114.08,0
1,ZH,250,Urdorf,98,115,10,11,14,98,115,10,11,14,98,125.56,0,98,125.56,0
1,ZH,198,Uster,98,112,11,10,14,98,112,11,10,14,98,122.54,0,98,122.54,0
1,ZH,43,Volken,98,111,12,13,14,98,111,12,13,14,98,123.22,0,98,123.22,0
1,ZH,199,Volketswil,98,101,10,10,14,98,101,10,10,14,98,111,0,98,111,0
1,ZH,120,"Wald (ZH)",98,122,14,12,14,98,122,14,12,14,98,135.02,0,98,135.02,0
1,ZH,69,Wallisellen,98,93,7,8,14,98,93,7,8,14,98,100.55,0,98,100.55,0
1,ZH,200,Wangen-Brüttisellen,98,101,11,8,14,98,101,11,8,14,98,110.44,0,98,110.44,0
1,ZH,70,Wasterkingen,98,116,14,13,14,98,116,14,13,14,98,129.75,0,98,129.75,0
